COUNTYGEOID,C01,C02,C03,C04,C05
05063,-48122.86914489388,-24653.55471632413,-9014.240820146304,-33110.41251087662,22102.35798472
05065,-49249.85420853401,-33997.774394276574,-10768.837635439288,-40211.76352253611,33023.00690564624
05067,-49246.125241335096,-33964.06439426212,-10768.781557526278,-40211.511311443544,33023.40786446812
05069,-10906.015594132774,-35461.76088550543,120514.15101694358,699104.7495801448,-1113660.7967324713
05071,-48742.19535836591,-34078.124913197564,-6681.094370268205,-38724.191961469405,33327.27573144758
05073,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
05075,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
05077,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
05079,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
05081,-17997.577559761,-38891.375600015446,97251.94050240243,568917.6377967984,-910957.8647194454
05083,-49249.761356726616,-33997.596735121195,-10768.959646118921,-40211.53069147316,33023.171942110275
05085,-49249.83193857495,-33997.77642192508,-10768.69313583556,-40210.39816788524,33023.59842621217
05087,-49249.84881690226,-33997.76410051816,-10768.84472936004,-40211.75003407361,33023.01646413739
05089,-45088.29604888827,-34657.289242492065,22772.668142607206,-28010.623817618485,35519.498389436034
05091,-49249.25961231572,-33990.85355045759,-10768.30978155409,-40211.063739886136,33021.037117160915
05093,-46763.578157819415,-34352.5910747843,9211.09550879428,-32180.4464077945,34751.56682314418
05095,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
05097,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
05099,-49249.52095021859,-33994.681193399905,-10768.817601601471,-40211.768528872024,33023.02388852759
05101,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
05103,-43969.49139734447,-34827.078726745916,7482.816297937671,62714.92470734458,-126486.58861573301
05105,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
05107,-49249.55940891202,-33997.743212427355,-10768.37711589644,-40208.45983771706,33024.637388883246
05109,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
05111,-49249.850345027786,-33997.734751582255,-10768.829576364558,-40211.70867649889,33023.0493632533
05113,-49249.85389963548,-33997.77122472794,-10768.836991092852,-40211.75913743606,33023.01030025529
05115,-49249.85019043467,-33997.76679253879,-10768.842264045785,-40211.75123994732,33023.01324380978
05117,-49249.85416759567,-33997.77397421593,-10768.837550043982,-40211.76294137827,33023.00735553418
05119,-48901.08183426756,-34043.714223595234,-7958.543014206816,-39026.0984486645,33305.51278295404
05121,-49249.840941986055,-33997.775627809366,-10768.760790552256,-40211.02202800967,33023.30851848396
05123,-49249.806120372545,-33997.32805583602,-10768.834746767925,-40211.7642600207,33023.00934461273
05125,-49242.87628348577,-33998.07636800273,-10738.714363544726,-40197.0210730259,33027.92988654151
05127,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
05129,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
05131,-48690.172557426435,-34079.55121076452,-6572.212301695024,-35659.00118477898,22832.090057389447
05133,-49249.85266343127,-33997.771451740446,-10768.839671384167,-40211.759667437735,33023.00963670835
05135,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
05137,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
05139,-40004.35427678958,34464.275688235044,-8917.272355262838,23775.761762059723,-111073.46967276165
05141,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
05143,-49248.136018027886,-33981.68361191691,-10768.142415047207,-40207.94068279154,33023.35737542835
05145,-49249.85418674573,-33997.77417071096,-10768.83758999001,-40211.76321323101,33023.0071450866
05147,-49249.85403204629,-33997.774425154596,-10768.837306146697,-40211.76140659704,33023.00793640571
05149,-49249.56566597821,-33997.22296189979,-10769.217057385273,-40211.04090229063,33023.51904525557
60010,-49249.85388671005,-33997.774441253765,-10768.837810512614,-40211.76138907281,33023.00300412715
60020,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
60030,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
60040,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
60050,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
04001,-49080.13150417428,-32053.930563797676,-10626.88959169119,-40076.15725556026,32433.53405379773
